atm_id,location_id,location_street_address,location_city,location_state,location_postal_code,location_country,transaction_date,total_withdrawal_count,total_withdrawal_amount,total_deposit_count,total_deposit_amount,unique_card_count,average_withdrawal_amount,average_deposit_amount,suspicious_activity_flag,notes
ATM001,LOC1001,100 Main St,Chicago,IL,60601,USA,6/3/2024,96,27389.5,12,3422.15,87,285.31,285.18,FALSE,Busy weekday in downtown business district
ATM002,LOC1002,45 Queen St,Toronto,ON,M5H 2N2,Canada,6/1/2024,32,9650,5,1225,28,301.56,245,FALSE,"Steady weekend flow, tourist area"
ATM003,LOC1003,200 Market Lane,Boston,MA,02110,USA,6/7/2024,57,14560,11,2970,54,255.44,270,FALSE,"University area, start of month"
ATM004,LOC1004,17 High Road,London,ENG,N12 8TP,UK,6/8/2024,24,7740,2,520,20,322.5,260,FALSE,"Busy Saturday, city center"
ATM005,LOC1005,88 Sunset Blvd,Los Angeles,CA,90028,USA,6/1/2024,210,121800,2,1840,200,580,920,TRUE,"Concert event nearby, extremely high withdrawals"
ATM006,LOC1006,12 Riverbank Ave,St. Louis,MO,63101,USA,6/2/2024,4,640,1,110,4,160,110,FALSE,Low activity at night
ATM007,LOC1007,55 Harbor Street,Sydney,NSW,2000,Australia,6/4/2024,13,2860,2,270,10,220,135,FALSE,"Bilingual display tested, steady weekday"
ATM008,LOC1008,9 Elm Place,Houston,TX,77002,USA,6/5/2024,122,32940,14,4732,110,270,338,FALSE,"Payday, high activity in business area"
ATM009,LOC1009,4 Lakeview Drive,Dublin,TX,D02 Y006,Ireland,6/7/2024,18,4320,0,0,13,240,0,FALSE,"Tourist area, Friday evening"
ATM010,LOC1010,27 Mountain Rd,Boulder,CO,80302,USA,6/6/2024,7,1050,1,90,6,150,90,FALSE,"Suburban ATM, low midweek activity"
ATM011,LOC1011,3 Pine Lane,Miami,FL,33101,USA,6/2/2024,140,49700,29,8710,120,355,300.34,FALSE,Busy weekend in tourist area
ATM012,LOC1012,14 Maple Ave,New York,NY,10001,USA,6/8/2024,0,0,0,0,0,0,0,FALSE,ATM not yet activated
ATM013,LOC1013,6 Bridge Rd,Innsbruck,TIR,6020,Austria,6/7/2024,8,1800,1,150,7,225,150,FALSE,"Tourist ATM, moderate weekend activity"
ATM014,LOC1014,19 Willow Way,Dallas,TX,75201,USA,6/5/2024,53,14756,9,2400,49,278.41,266.67,FALSE,"Business district, steady weekday flow"
ATM015,LOC1015,16 Cherry Ln,San Francisco,CA,94105,USA,6/3/2024,4,840,0,0,4,210,0,FALSE,"Low activity, weekday morning"
ATM016,LOC1016,Unknown,Shenzhen,GD,518000,China,6/1/2024,18,4860,3,570,14,270,190,FALSE,"Steady traffic, commercial district"
ATM017,LOC1017,21 Grove St,London,QC,H2Y 1C6,Canada,6/6/2024,40,9680,7,1680,36,242,240,FALSE,"Morning shift, bilingual display"
ATM018,LOC1018,11 Birch Rd,Austin,TX,73301,USA,6/7/2024,105,39780,24,6500,97,379.81,270.83,FALSE,"Start of month, university area"
ATM019,LOC1019,8 Oak Hill,Philadelphia,PA,19107,USA,6/2/2024,1,150,0,0,1,150,0,FALSE,Test transaction after repair
ATM020,LOC1020,Unknown,London,TX,,Unknown,6/3/2024,0,0,0,0,0,0,0,FALSE,ATM offline for maintenance
ATM021,LOC1021,101 State St,Buffalo,NY,14202,USA,6/1/2024,81,22323,8,2360,76,275.59,295,FALSE,"Weekend, moderate usage"
ATM022,LOC1022,5 Valley Rd,Manchester,ENG,M2 5BQ,UK,6/4/2024,10,2500,2,480,8,250,240,FALSE,"Morning rush, business area"
ATM023,LOC1023,88 Airport Rd,Orlando,FL,32827,USA,6/8/2024,1000,999999.99,0,0,975,1000,0,TRUE,"Extreme withdrawal volume, possible system error"
ATM024,LOC1024,7 Meadow Lane,Dallas,TX,75202,USA,6/5/2024,11,2200,2,400,10,200,200,FALSE,"Low activity, early morning"
ATM025,LOC1025,42 King St,Toronto,ON,M5H 1Y2,Canada,6/2/2024,29,8120,6,1398,27,280,233,FALSE,"Sunday, moderate usage downtown"
ATM026,LOC1026,1 Plaza Dr,Philadelphia,PA,19103,USA,6/8/2024,60,18300,12,3600,55,305,300,FALSE,"Payday, busy central area"
ATM027,LOC1027,22 River Rd,Houston,TX,77003,USA,6/9/2024,95,22800,13,3900,90,240,300,FALSE,"Sunday, steady residential area"
ATM028,LOC1028,9 Hilltop Ave,Los Angeles,CA,90001,USA,6/2/2024,250,125000,2,1800,240,500,900,TRUE,High volume due to sports event
ATM029,LOC1029,13 Grove St,Boston,MA,02115,USA,6/4/2024,72,20412,10,2590,69,283.5,259,FALSE,Steady university traffic
ATM030,LOC1030,9 Broadway,New York,NY,10004,USA,6/7/2024,51,13326,8,2380,48,261.29,297.5,FALSE,Busy Friday in financial district
ATM031,LOC1031,15 College Ave,Cambridge,MA,02138,USA,6/6/2024,44,12540,7,2100,41,285,300,FALSE,"College town, exam period spike"
ATM032,LOC1032,67 Lake Shore Dr,Chicago,IL,60611,USA,6/8/2024,88,24200,16,4608,80,275,288,FALSE,"Weekend, lakeside event"
ATM033,LOC1033,1 Museum Rd,Vienna,WIE,1010,Austria,6/2/2024,20,4000,2,600,19,200,300,FALSE,"Tourist area, weekend"
ATM034,LOC1034,4 City Center,Dublin,TX,D02 P206,Ireland,6/9/2024,7,1400,1,180,6,200,180,FALSE,"Sunday, steady tourist traffic"
ATM035,LOC1035,53 Elm St,Denver,CO,80203,USA,6/5/2024,33,9900,6,1434,29,300,239,FALSE,"Afternoon, local business district"
ATM036,LOC1036,12 Park Rd,Melbourne,VIC,3000,Australia,6/6/2024,9,2070,1,195,7,230,195,FALSE,"Moderate weekday, city center"
ATM037,LOC1037,8 University Ave,Austin,TX,78701,USA,6/8/2024,54,14742,10,2650,50,273,265,FALSE,"University area, weekend"
ATM038,LOC1038,15 North Rd,Manchester,ENG,M1 2AA,UK,6/1/2024,18,4200,3,600,15,233.33,200,FALSE,"Steady weekend, city center"
ATM039,LOC1039,3 West End,London,ENG,W1D 1BS,UK,6/9/2024,5,1075,1,200,4,215,200,FALSE,"Slow Sunday, theater district"
ATM040,LOC1040,20 Central Ave,Orlando,FL,32801,USA,6/4/2024,35,9100,5,1595,32,260,319,FALSE,"Weekday, moderate activity"
ATM041,LOC1041,9 Hill St,Los Angeles,CA,90013,USA,6/7/2024,140,42000,30,9000,128,300,300,FALSE,"High activity, payday"
ATM042,LOC1042,7 Kingsway,London,ENG,WC2B 6XD,UK,6/5/2024,12,2976,2,400,11,248,200,FALSE,"Steady weekday, legal district"
ATM043,LOC1043,6 Maple St,Boston,MA,02111,USA,6/1/2024,36,9360,7,1750,34,260,250,FALSE,"Weekend, student area"
ATM044,LOC1044,8 Tower Hill,London,ENG,EC3N 4DR,UK,6/8/2024,15,3990,3,660,13,266,220,FALSE,"Weekend, tourist hotspot"
ATM045,LOC1045,3 University Rd,Dublin,TX,D02 F206,Ireland,6/8/2024,9,1980,2,380,7,220,190,FALSE,"Saturday, student area"
ATM046,LOC1046,10 Main St,Vancouver,BC,V5K 0A1,Canada,6/7/2024,22,5940,5,1150,20,270,230,FALSE,"Downtown, Friday rush"
